Player Name,Date of Birth,Event Year,Event Date,Event Type,Location,Rank,fivbID,Nationality
ANDERS BERNTSEN MOL,7/2/1997,2023,February 1,E16,QA,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2023,January 26,PTF,QA,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,November 9,E16,BR,3,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,November 2,E16,ZA,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,September 28,E16,FR,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,August 16,CCH,DE,3,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,August 10,E16,DE,13,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,July 6,E16,CH,9,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,June 10,WCH,IT,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,June 1,E16,LV,13,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,May 25,E16,CZ,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2022,March 23,E16,MX,3,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,October 6,OTH,IT,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,August 12,CCH,AT,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,July 24,OG,JP,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,July 6,WT4*,CH,5,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,June 2,WT4*,CZ,9,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,May 26,WT4*,RU,17,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,April 22,WT4*,MX,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2021,April 16,WT4*,MX,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2020,September 16,CCH,LV,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,September 4,WTF,IT,3,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,August 28,WT1*,NO,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,August 6,CCH,RU,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,July 30,WT5*,AT,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,July 24,WT4*,JP,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,July 9,WT5*,CH,1,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,June 28,WCH,DE,3,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,June 12,WT4*,PL,2,143192,Norway
ANDERS BERNTSEN MOL,7/2/1997,2019,May 29,WT4*,CZ,1,143192,Norway
